file_path,label
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\03a01Wa.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\03a02Wb.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\03a02Wc.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\03a04Wc.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\03a05Wa.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\03a05Wb.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\03a07Wc.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\03b01Wa.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\03b01Wc.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\03b02Wb.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\03b03Wc.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\03b09Wa.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\03b10Wb.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\03b10Wc.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\08a01Wa.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\08a01Wc.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\08a02Wc.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\08a04Wc.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\08a05Wa.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\08a07Wc.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\08b01Wa.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\08b02Wd.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\08b03Wd.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\08b09Wa.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\08b09Wc.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\08b10Wa.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\09a01Wb.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\09a02Wb.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\09a04Wa.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\09a05Wb.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\09a05Wc.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\09a07Wb.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\09a07Wd.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\09b01Wb.npy,3
C:\Users\USER\Documents\Esprit\4ds\Deep Learning\Proj\data\preprocessed\EmoDB\angry\09b02Wc.npy,3
